Date,FX_Reserves_USD_Millions
2010-01-01,1234.562
2010-02-01,1172.0824
2010-03-01,1176.3498
2010-04-01,1251.2504
2010-05-01,1203.4632
2010-06-01,1154.0661
2010-07-01,1340.7937
2010-08-01,1352.3864
2010-09-01,1490.6527
2010-10-01,1502.4039
2010-11-01,1494.132
2010-12-01,1468.5033
2011-01-01,1530.036182
2011-02-01,1441.761976
2011-03-01,1462.66432
2011-04-01,1688.937458
2011-05-01,1656.026463
2011-06-01,1939.946
2011-07-01,1984.9085
2011-08-01,1990.804648
2011-09-01,1926.266231
2011-10-01,1963.370209
2011-11-01,1858.039855
2011-12-01,1706.2061
2012-01-01,1846.4112
2012-02-01,1748.3735
2012-03-01,1698.534386
2012-04-01,1664.485508
2012-05-01,1753.1958
2012-06-01,1833.349498
2012-07-01,1956.448926
2012-08-01,1841.8403
2012-09-01,2705.232498
2012-10-01,2744.220663
2012-11-01,2701.816612
2012-12-01,2435.725578
2013-01-01,2458.89295
2013-02-01,2273.699138
2013-03-01,2020.088753
2013-04-01,1880.334612
2013-05-01,1888.48938
2013-06-01,1858.238604
2013-07-01,1893.398279
2013-08-01,1934.125087
2013-09-01,2068.377601
2013-10-01,2171.789641
2013-11-01,2126.415803
2013-12-01,2094.215839
2014-01-01,2165.81236
2014-02-01,2085.512976
2014-03-01,2102.061871
2014-04-01,3113.37237
2014-05-01,2803.038931
2014-06-01,2842.780789
2014-07-01,2772.553462
2014-08-01,2832.804247
2014-09-01,2742.598295
2014-10-01,2614.180278
2014-11-01,2553.27486
2014-12-01,2557.261502
2015-01-01,2402.792483
2015-02-01,2296.656729
2015-03-01,2175.099991
2015-04-01,2187.894474
2015-05-01,2206.635751
2015-06-01,2251.327033
2015-07-01,3434.804823
2015-08-01,3375.419656
2015-09-01,3114.621554
2015-10-01,2872.469408
2015-11-01,2576.493957
2015-12-01,2529.497148
2016-01-01,2461.022777
2016-02-01,2331.097953
2016-03-01,2151.88044
2016-04-01,2126.717951
2016-05-01,2032.787327
2016-06-01,1995.94803
2016-07-01,1824.597687
2016-08-01,1843.114846
2016-09-01,1859.50379
2016-10-01,1805.786697
2016-11-01,1923.76514
2016-12-01,1994.88445
2017-01-01,1943.072906
2017-02-01,1898.997792
2017-03-01,1934.314292
2017-04-01,2035.240135
2017-05-01,2022.224852
2017-06-01,2033.389639
2017-07-01,2058.775608
2017-08-01,1924.083141
2017-09-01,1814.408197
2017-10-01,1661.785806
2017-11-01,1623.835327
2017-12-01,1771.781834
2018-01-01,1601.224093
2018-02-01,1554.889291
2018-03-01,1473.723026
2018-04-01,1468.670255
2018-05-01,1462.085428
2018-06-01,1542.168575
2018-07-01,1499.972954
2018-08-01,1455.67888
2018-09-01,1360.823528
2018-10-01,1332.647233
2018-11-01,1357.556188
2018-12-01,1329.633462
2019-01-01,1216.543609
2019-02-01,1199.917724
2019-03-01,1166.338022
2019-04-01,1110.001751
2019-05-01,1152.788266
2019-06-01,1194.800883
2019-07-01,1202.448229
2019-08-01,1241.78614
2019-09-01,1279.243552
2019-10-01,1219.784744
2019-11-01,1175.118711
2019-12-01,1258.975544
2020-01-01,1117.205178
2020-02-01,1176.504558
2020-03-01,1208.820961
2020-04-01,1150.359192
2020-05-01,1184.975746
2020-06-01,1247.565745
2020-07-01,1198.417626
2020-08-01,1152.928513
2020-09-01,1139.896377
2020-10-01,1126.26443
2020-11-01,1081.428557
2020-12-01,1023.318033
2021-01-01,1015.42323
2021-02-01,996.9198803
2021-03-01,1023.857493
2021-04-01,1028.977501
2021-05-01,1205.71522
2021-06-01,1241.628869
2021-07-01,1394.392251
2021-08-01,1465.270805
2021-09-01,1393.906478
2021-10-01,1115.291023
2021-11-01,1180.033963
2021-12-01,1260.434911
2022-01-01,1377.432604
2022-02-01,1308.215057
2022-03-01,1366.049593
2022-04-01,1368.040319
2022-05-01,1349.224894
2022-06-01,1542.746073
2022-07-01,1565.494302
2022-08-01,1586.280336
2022-09-01,1462.081844
2022-10-01,1333.045906
2022-11-01,1362.921325
2022-12-01,1364.161064
2023-01-01,1311.207247
2023-02-01,1326.82164
2023-03-01,1205.911306
2023-04-01,1205.911306
2023-05-01,1135.905422
2023-06-01,959.0111229
2023-07-01,909.2642319
2023-08-01,960.3970168
2023-09-01,1014.085745
2023-10-01,1013.312428
2023-11-01,1116.074322
2023-12-01,1188.997561
2024-01-01,1106.258879
2024-02-01,1358.808663
2024-03-01,1398.21895
2024-04-01,1396.529614
2024-05-01,1391.015392
2024-06-01,1191.719128
2024-07-01,1118.74762
2024-08-01,1119.380477
2024-09-01,1333.07261
2024-10-01,1418.806429
2024-11-01,1351.052776
2024-12-01,1403.544251
2025-01-01,1484.430718
2025-02-01,1450.346783
2025-03-01,1471.271812
