indicator,region,Unit,Date,Value
Overall Monthly Inflation,Zambia,Percent,2010M1,5
Overall Monthly Inflation,Zambia,Percent,2010M2,0.4
Overall Monthly Inflation,Zambia,Percent,2010M3,1
Overall Monthly Inflation,Zambia,Percent,2010M4,0.9
Overall Monthly Inflation,Zambia,Percent,2010M5,0.2
Overall Monthly Inflation,Zambia,Percent,2010M6,0.2
Overall Monthly Inflation,Zambia,Percent,2010M7,0.5
Overall Monthly Inflation,Zambia,Percent,2010M8,0.9
Overall Monthly Inflation,Zambia,Percent,2010M9,0.2
Overall Monthly Inflation,Zambia,Percent,2010M10,-0.3
Overall Monthly Inflation,Zambia,Percent,2010M11,0.4
Overall Monthly Inflation,Zambia,Percent,2010M12,0.9
Overall Monthly Inflation,Zambia,Percent,2011M1,0.7
Overall Monthly Inflation,Zambia,Percent,2011M2,0.7
Overall Monthly Inflation,Zambia,Percent,2011M3,1.1
Overall Monthly Inflation,Zambia,Percent,2011M4,0.6
Overall Monthly Inflation,Zambia,Percent,2011M5,0.3
Overall Monthly Inflation,Zambia,Percent,2011M6,0
Overall Monthly Inflation,Zambia,Percent,2011M7,1.2
Overall Monthly Inflation,Zambia,Percent,2011M8,0.6
Overall Monthly Inflation,Zambia,Percent,2011M9,0.4
Overall Monthly Inflation,Zambia,Percent,2011M10,-0.2
Overall Monthly Inflation,Zambia,Percent,2011M11,0.1
Overall Monthly Inflation,Zambia,Percent,2011M12,0.5
Overall Monthly Inflation,Zambia,Percent,2012M1,1.1
Overall Monthly Inflation,Zambia,Percent,2012M2,0.3
Overall Monthly Inflation,Zambia,Percent,2012M3,1.5
Overall Monthly Inflation,Zambia,Percent,2012M4,0.7
Overall Monthly Inflation,Zambia,Percent,2012M5,0.4
Overall Monthly Inflation,Zambia,Percent,2012M6,0
Overall Monthly Inflation,Zambia,Percent,2012M7,0.7
Overall Monthly Inflation,Zambia,Percent,2012M8,0.9
Overall Monthly Inflation,Zambia,Percent,2012M9,0.5
Overall Monthly Inflation,Zambia,Percent,2012M10,0.1
Overall Monthly Inflation,Zambia,Percent,2012M11,0.2
Overall Monthly Inflation,Zambia,Percent,2012M12,0.8
Overall Monthly Inflation,Zambia,Percent,2013M1,0.8
Overall Monthly Inflation,Zambia,Percent,2013M2,0.2
Overall Monthly Inflation,Zambia,Percent,2013M3,1.2
Overall Monthly Inflation,Zambia,Percent,2013M4,0.6
Overall Monthly Inflation,Zambia,Percent,2013M5,0.9
Overall Monthly Inflation,Zambia,Percent,2013M6,0.4
Overall Monthly Inflation,Zambia,Percent,2013M7,0.7
Overall Monthly Inflation,Zambia,Percent,2013M8,0.7
Overall Monthly Inflation,Zambia,Percent,2013M9,0.4
Overall Monthly Inflation,Zambia,Percent,2013M10,0
Overall Monthly Inflation,Zambia,Percent,2013M11,0.3
Overall Monthly Inflation,Zambia,Percent,2013M12,0.9
Overall Monthly Inflation,Zambia,Percent,2014M1,0.9
Overall Monthly Inflation,Zambia,Percent,2014M2,0.5
Overall Monthly Inflation,Zambia,Percent,2014M3,1.3
Overall Monthly Inflation,Zambia,Percent,2014M4,0.7
Overall Monthly Inflation,Zambia,Percent,2014M5,0.9
Overall Monthly Inflation,Zambia,Percent,2014M6,0.4
Overall Monthly Inflation,Zambia,Percent,2014M7,0.8
Overall Monthly Inflation,Zambia,Percent,2014M8,0.7
Overall Monthly Inflation,Zambia,Percent,2014M9,0.2
Overall Monthly Inflation,Zambia,Percent,2014M10,0.1
Overall Monthly Inflation,Zambia,Percent,2014M11,0.4
Overall Monthly Inflation,Zambia,Percent,2014M12,0.8
Overall Monthly Inflation,Zambia,Percent,2015M1,0.7
Overall Monthly Inflation,Zambia,Percent,2015M2,0.3
Overall Monthly Inflation,Zambia,Percent,2015M3,1
Overall Monthly Inflation,Zambia,Percent,2015M4,0.7
Overall Monthly Inflation,Zambia,Percent,2015M5,0.6
Overall Monthly Inflation,Zambia,Percent,2015M6,0.6
Overall Monthly Inflation,Zambia,Percent,2015M7,0.8
